#SampleID	Site	Trial	Treatment
#q2:types	categorical	categorical	categorical
16S-Asp-01	Cranfield	Cranfield	Cover-Crop
16S-Asp-02	Cranfield	Cranfield	Bare-Soil
16S-Asp-03	Cranfield	Cranfield	Bare-Soil
16S-Asp-04	Cranfield	Cranfield	Cover-Crop
16S-Asp-05	Cranfield	Cranfield	Mulch
16S-Asp-06	Cranfield	Cranfield	Mulch
16S-Asp-07	Cranfield	Cranfield	Bare-Soil
16S-Asp-08	Cranfield	Cranfield	Bare-Soil
16S-Asp-09	Cranfield	Cranfield	Bare-Soil
16S-Asp-10	Cranfield	Cranfield	Bare-Soil
16S-Asp-11	Cranfield	Cranfield	Cover-Crop
16S-Asp-12	Cranfield	Cranfield	Cover-Crop
16S-Asp-13	Cranfield	Cranfield	Cover-Crop
16S-Asp-14	Cranfield	Cranfield	Cover-Crop
16S-Asp-15	Cranfield	Cranfield	Cover-Crop
16S-Asp-16	Cranfield	Cranfield	Mulch
16S-Asp-17	Cranfield	Cranfield	Bare-Soil
16S-Asp-18	Cranfield	Cranfield	Mulch
16S-Asp-19	Cranfield	Cranfield	Mulch
16S-Asp-20	Cranfield	Cranfield	Mulch
16S-Asp-21	Cranfield	Cranfield	Mulch
16S-Asp-22	Cranfield	Cranfield	Bare-Soil
16S-Asp-23	Cranfield	Cranfield	Mulch
16S-Asp-24	Cranfield	Cranfield	Cover-Crop
16S-Box-01	Boxworth	Boxworth	Undrained
16S-Box-10	Boxworth	Boxworth	Undrained
16S-Box-11	Boxworth	Boxworth	Moled
16S-Box-12	Boxworth	Boxworth	Moled
16S-Box-02	Boxworth	Boxworth	Undrained
16S-Box-03	Boxworth	Boxworth	Moled
16S-Box-04	Boxworth	Boxworth	Moled
16S-Box-05	Boxworth	Boxworth	Undrained
16S-Box-06	Boxworth	Boxworth	Undrained
16S-Box-07	Boxworth	Boxworth	Moled
16S-Box-08	Boxworth	Boxworth	Moled
16S-Box-09	Boxworth	Boxworth	Undrained
16S-Craib-Fert-01	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-10	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-11	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-12	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-13	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-14	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-15	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-16	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-17	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-18	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-19	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-02	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-20	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-21	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-22	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-23	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-24	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-03	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-04	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-05	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-06	Craibstone	Craibstone-Fert	No-Fertiliser
16S-Craib-Fert-07	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-08	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-Fert-09	Craibstone	Craibstone-Fert	Fertiliser
16S-Craib-pH-01	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-02	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-03	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-04	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-05	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-06	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-07	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-08	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-09	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-10	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-11	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-12	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-13	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-14	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-15	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-16	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-17	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-18	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-19	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-20	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-21	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-22	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-23	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-24	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-25	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-26	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-27	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-28	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-29	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-30	Craibstone	Craibstone-pH	pH6
16S-Craib-pH-31	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-32	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-33	Craibstone	Craibstone-pH	pH6.5
16S-Craib-pH-34	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-35	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-36	Craibstone	Craibstone-pH	pH7.5
16S-Craib-pH-37	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-38	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-39	Craibstone	Craibstone-pH	pH4.5
16S-Craib-pH-40	Craibstone	Craibstone-pH	pH6
