#SampleID	Site	Trial	Treatment
#q2:types	categorical	categorical	categorical
ITS-Asp-01	Cranfield	Cranfield	Cover-Crop
ITS-Asp-02	Cranfield	Cranfield	Bare-Soil
ITS-Asp-03	Cranfield	Cranfield	Bare-Soil
ITS-Asp-04	Cranfield	Cranfield	Cover-Crop
ITS-Asp-05	Cranfield	Cranfield	Mulch
ITS-Asp-06	Cranfield	Cranfield	Mulch
ITS-Asp-07	Cranfield	Cranfield	Bare-Soil
ITS-Asp-08	Cranfield	Cranfield	Bare-Soil
ITS-Asp-09	Cranfield	Cranfield	Bare-Soil
ITS-Asp-10	Cranfield	Cranfield	Bare-Soil
ITS-Asp-11	Cranfield	Cranfield	Cover-Crop
ITS-Asp-12	Cranfield	Cranfield	Cover-Crop
ITS-Asp-13	Cranfield	Cranfield	Cover-Crop
ITS-Asp-14	Cranfield	Cranfield	Cover-Crop
ITS-Asp-15	Cranfield	Cranfield	Cover-Crop
ITS-Asp-16	Cranfield	Cranfield	Mulch
ITS-Asp-17	Cranfield	Cranfield	Bare-Soil
ITS-Asp-18	Cranfield	Cranfield	Mulch
ITS-Asp-19	Cranfield	Cranfield	Mulch
ITS-Asp-20	Cranfield	Cranfield	Mulch
ITS-Asp-21	Cranfield	Cranfield	Mulch
ITS-Asp-22	Cranfield	Cranfield	Bare-Soil
ITS-Asp-23	Cranfield	Cranfield	Mulch
ITS-Asp-24	Cranfield	Cranfield	Cover-Crop
ITS-Box-01	Boxworth	Boxworth	Undrained
ITS-Box-10	Boxworth	Boxworth	Undrained
ITS-Box-11	Boxworth	Boxworth	Moled
ITS-Box-12	Boxworth	Boxworth	Moled
ITS-Box-02	Boxworth	Boxworth	Undrained
ITS-Box-03	Boxworth	Boxworth	Moled
ITS-Box-04	Boxworth	Boxworth	Moled
ITS-Box-05	Boxworth	Boxworth	Undrained
ITS-Box-06	Boxworth	Boxworth	Undrained
ITS-Box-07	Boxworth	Boxworth	Moled
ITS-Box-08	Boxworth	Boxworth	Moled
ITS-Box-09	Boxworth	Boxworth	Undrained
ITS-Craib-Fert-01	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-10	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-11	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-12	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-13	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-14	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-15	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-16	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-17	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-18	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-19	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-02	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-20	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-21	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-22	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-23	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-24	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-03	Craibstone	Craibstone-Fert	Fertiliser
ITS-Craib-Fert-04	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-05	Craibstone	Craibstone-Fert	No-Fertiliser
ITS-Craib-Fert-06	Craibstone	Craibstone-Fert	No-Fertiliser
